b2_site_smc_agency_name,c1_type_of_site,c2_landowner,c3_tenancy_agreement_for_at_least_6_months,b1_site_management,b5_community_committee_in_place,d1_most_common_reason_idps_left_place_of_origin,a8_population_groups_other_than_idps_in_site_select_all_applicable,d3_most_common_intention_in_next_three_months,c4_general_market_in_site_close_proximity,d2_1_most_common_district_of_idp_origin,d2_2_second_most_common_district_of_idp_origin,d2_3_third_most_common_district_of_idp_origin,c6_electricity_solar_power_available_in_site,c5_fuel_available_in_site_close_proximity,c8_primary_water_source,c9_primary_shelter_type,c10_primary_latrine_type,i1_top_priority_need,i2_second_priority_need,i3_third_priority_need,psp_rrm_distributions,psp_shelter_maintenance_services,psp_nfi_distribution,psp_food_distribution,psp_cash_distributions,psp_wash_services,psp_health_services,psp_education_services,psp_livelihood_services,psp_protection_services,psp_nutrition_services,psp_waste_disposal_services,if_ngo_rrm_distributions,if_ngo_shelter_maintenance_services,if_ngo_nfi_distribution,if_ngo_food_distribution,if_ngo_cash_distributions,if_ngo_wash_services,if_ngo_health_services,if_ngo_education_services,if_ngo_livelihood_services,if_ngo_protection_services,if_ngo_nutrition_services,if_ngo_waste_disposal_services,c7_presence_of_particularly_vulnerable_groups.unaccompanied_separated_children,c7_presence_of_particularly_vulnerable_groups.child_headed_hh,c7_presence_of_particularly_vulnerable_groups.elderly,c7_presence_of_particularly_vulnerable_groups.female_headed_hh,c7_presence_of_particularly_vulnerable_groups.marginalized_people,c7_presence_of_particularly_vulnerable_groups.persons_with_disabilities,c7_presence_of_particularly_vulnerable_groups.persons_with_chronic_diseases_serious_medical_conditions,c7_presence_of_particularly_vulnerable_groups.pregnant_and_lactating_women,f1_threats_to_the_site.flooding,f1_threats_to_the_site.eviction,f1_threats_to_the_site.infectious_diseases,f1_threats_to_the_site.friction_between_communities,f1_threats_to_the_site.water_contamination,f1_threats_to_the_site.conflict_related_incidents,f1_threats_to_the_site.fire_related_incidents,a1_governorate_name,a2_district_name,a3_sub_district_name,a4_site_name,a4_site_code,a6_site_occupation_date_dd_mm_yy,a7_site_population_individual,a7_site_population_hh,a8_population_groups_other_than_idps_in_site_select_all_applicable,@rrm_distributions,@shelter_maintenance_services,@nfi_distribution,@food_distribution,@cash_distributions,@wash_services,@health_services,@education_services,@livelihood_services,@protection_services,@nutrition_services,@waste_disposal_services,@maps
NA,Spontaneous settlement,Private,Yes,NGO/UN agency,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Al Hali,Al Qubaytah,Dimnat Khadir,No,No,Piped water into compound/public tap,Transitional shelter,Flush latrine to a tank/sewer system/pit,Food,Medical assistance,Non-food items,NA,NGO/UN agency,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NGO/UN agency,NA,NA,NA,Norweigan Refugee Council (NRC),NA,NA,Norweigan Refugee Council (NRC),Norweigan Refugee Council (NRC),NA,NA,NA,Norweigan Refugee Council (NRC),NA,NA,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Anad,YE2515 - 1195,2/1/2016,277,55,host community,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Anad.pdf
Abs Development Organization (ADO),Spontaneous settlement,Private,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Harad,Al Jamimah,Mustaba,No,No,Unprotected rainwater tank/well/spring,Makeshift shelter,Open defection,Non-food items,Sanitation services,Livelihood assistance,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,NA,NA,Government,NA,NA,NGO/UN agency,NA,N/A,Danish Refugee Council (DRC),NA,World Food Programme (WFP),Action Contre la Faim (ACF),NA,NA,NA,NA,NA,UNICEF,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Hajjah,Khayran Al Muharraq,Sharqi Al Khamisin,Al Areed,YE1711 - 1196,5/1/2015,8710,1068,none,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Areed.pdf
N/A,Collective centre,Private,Yes,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Maqbanah,Jabal Habashi,NA,Yes,No,Water Trucking,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Water,Cash assistance,NA,NA,NA,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,Care,NA,Care,N/A,NA,NA,NA,NA,NA,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Ta'iz,Al Mudhaffar,Al Mudhaffar,Al Attar + Sailan building,YE1517 - 1197,12/1/2017,111,21,host community,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/red.png,./merge/grey.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Attar + Sailan building.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Harad,Mustaba,Hayran,No,Yes,Unprotected rainwater tank/well/spring,Host family house/apartment,Pit latrine-covered,Sanitation services,Livelihood assistance,Water,NA,Private,NA,NGO/UN agency,NA,NA,NGO/UN agency,Government,Government,NA,NA,NA,NA,NA,NA,Norweigan Refugee Council (NRC),NA,NA,World Health Organization (WHO),NA,NA,NA,NA,NA,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Hajjah,Washhah,Dain,Al Baddah Bait Alobidy,YE1730 - 1198,1/1/2014,420,30,host community,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Baddah Bait Alobidy.pdf
NA,NA,NA,NA,NA,NA,NA,Host community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hadramawt,Al Qatn,Al Qatn,Al Qatn,YE1907 - 1199,8/1/2015,1470,210,host community,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/test maps/YEM_CCCM_Al Qatn.pdf
NA,NA,NA,NA,NA,NA,NA,Host community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hajjah,Aslam,Aslam Al Yemen,Al dabri,YE1712 - 1200,6/1/2016,100,20,host community,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/test maps/YEM_CCCM_Al dabri.pdf
NA,Spontaneous settlement,Private,No,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Maqbanah,At Ta'iziyah,Jabal Habashi,No,Yes,Water Trucking,Emergency shelter,Flush latrine to a tank/sewer system/pit,Food,Medical assistance,Shelter / maintenance assistance,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NA,NA,NA,NGO/UN agency,NGO/UN agency,NA,Action Contre la Faim (ACF),Danish Refugee Council (DRC),UNICEF,World Food Programme (WFP),NA,UNICEF,NA,NA,NA,Norweigan Refugee Council (NRC),UNICEF,NA,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Garad Site,YE2515 - 1201,7/1/2017,534,94,none,./merge/green.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/green.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Garad Site.pdf
Other,Spontaneous settlement,Owner not know,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Mawza',NA,NA,No,No,Borehole,Makeshift shelter,Open defection,Shelter / maintenance assistance,Water,Cash assistance,NGO/UN agency,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,Government,NA,DEEM,NA,NA,Society for Humanitarian Solidarity (SHS),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Ta'iz,Mawza',Al Awashqah,Al Ghalla As Sufla,YE1507 - 1202,8/1/2018,114,21,host community,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Ghalla As Sufla.pdf
Other,Spontaneous settlement,Owner not know,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Mawza',NA,NA,No,No,Borehole,Makeshift shelter,Open defection,Shelter / maintenance assistance,Water,Livelihood assistance,NGO/UN agency,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,Government,NA,DEEM,NA,NA,Society for Humanitarian Solidarity (SHS),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Ta'iz,Mawza',Al Awashqah,Al Ghallah Al Ulia,YE1507 - 1203,1/1/2019,187,40,none,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Ghallah Al Ulia.pdf
NA,Collective centre,Private,No,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Al Qubaytah,Qa'tabah,Damt,Yes,Yes,Piped water into compound/public tap,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Cash assistance,Medical assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,NA,NA,NA,NA,NA,NA,IOM,Field Medical Foundation (FMF),NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Lahj,Radfan,al Habilin,Al Habelain City,YE2507 - 1204,3/1/2015,240,60,host community,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Habelain City.pdf
N/A,Collective centre,Private,Yes,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Maqbanah,NA,NA,Yes,No,Water Trucking,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Cash assistance,Medical assistance,NGO/UN agency,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,DEEM,NA,NA,Care,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Ta'iz,Al Mudhaffar,Al Mudhaffar,Al haddad building,YE1517 - 1205,3/1/2016,165,30,none,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al haddad building.pdf
NA,Spontaneous settlement,Private,No,Non-existent,NA,Evicted from property,None,Return to origin,No,Al Hashwah,NA,NA,Yes,No,Borehole,Makeshift shelter,Pit latrine-covered,Food,Shelter / maintenance assistance,Livelihood assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Ma'rib,Ma'rib,Aal Rashid Munif,Al Haghlan,YE2613 - 1206,4/1/2016,144,24,none,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Haghlan.pdf
NA,Collective centre,Private,No,NGO/UN agency,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Ad Dali',Al Mudhaffar,Mukayras,Yes,Yes,Piped water into compound/public tap,Rented house/appartment,Open defection,Food,Medical assistance,Non-food items,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,NA,NA,NGO/UN agency,NA,Action Contre la Faim (ACF),NA,Yemen Red Crescent Society (YRCS),Charitable Society for Social Welfare (CSSW),NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Lahj,Al Malah,Al Malah,Al Haid Al Abiadh,YE2508 - 1207,7/1/2019,78,13,host community,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Haid Al Abiadh.pdf
Yemen Red Crescent Society (YRCS),Spontaneous settlement,Private,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Abs,Hayran,Sa'dah,Yes,Yes,Water Trucking,Makeshift shelter,Flush latrine to the open,Food,Water,Medical assistance,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NA,NA,NGO/UN agency,NA,Norweigan Refugee Council (NRC),Jeel Al-bena Foundation,Jeel Al-bena Foundation,World Food Programme (WFP),Oxfam,Oxfam,Abs Development Organization (ADO),NA,NA,NA,Medecins Sans Frontieres (MSF),NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Hajjah,Abs,Al Wasat - Abs,Al Hanak,YE1704 - 1208,1/1/2019,685,118,host community,./merge/green.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Hanak.pdf
