uuid,rrm_distributions,shelter_maintenance_services,nfi_distribution,food_distribution,cash_distributions,wash_services,health_services,education_services,livelihood_services,protection_services,legal_services,nutrition_services,waste_disposal_services,i1_top_priority_need,i2_second_priority_need,i3_third_priority_need,food_check,water_check,shelter_check,nfi_check,sanitation_check,nutrition_check,health_check,livelihoods_check,cash_check,legal_check,protection_check,education_check
3f740185-e2cd-484c4d-818e82-162bd8907ca5,inadequate,inadequate,inadequate,inadequate,non_existent,inadequate,inadequate,inadequate,inadequate,adequate,inadequate,non_existent,adequate,food,sanitation_services,none,0,0,0,0,1,0,0,0,0,0,0,0
68f50b32-9c56-424a4e-b1b5be-d1730abc8654,inadequate,inadequate,adequate,non_existent,non_existent,inadequate,non_existent,adequate,adequate,adequate,inadequate,inadequate,non_existent,shelter_maintenance_assistance,shelter_maintenance_assistance,medical_assistance,0,0,0,0,0,0,0,0,0,0,0,0
2c4db1f6-1f8e-4b4d4c-989d95-9a32bf74e580,inadequate,non_existent,adequate,adequate,adequate,inadequate,adequate,non_existent,inadequate,adequate,adequate,non_existent,inadequate,medical_assistance,medical_assistance,livelihood_assistance,0,0,0,0,0,0,1,0,0,0,0,0
531be8f2-f2e7-46414a-8c8486-63db928efa75,non_existent,inadequate,adequate,non_existent,inadequate,inadequate,inadequate,non_existent,non_existent,non_existent,inadequate,non_existent,non_existent,education,sanitation_services,cash_assistance,0,0,0,0,0,0,0,0,0,0,0,0
1fbe09d6-ca19-4a4e49-8d8e8a-fac64082391b,adequate,non_existent,inadequate,adequate,adequate,non_existent,inadequate,non_existent,non_existent,inadequate,non_existent,inadequate,adequate,shelter_maintenance_assistance,non_food_items,protection_services,0,0,0,0,0,0,0,0,0,0,0,0
9ad07c4f-8acb-4d4f4a-838a87-807d39c21ea6,inadequate,adequate,non_existent,adequate,inadequate,inadequate,adequate,inadequate,adequate,non_existent,adequate,inadequate,inadequate,nutrition_services,sanitation_services,nutrition_services,0,0,0,0,0,0,0,0,0,0,0,0
10a32de5-4e10-444d4e-b7bfb3-28e5791604da,inadequate,non_existent,inadequate,adequate,inadequate,inadequate,adequate,non_existent,adequate,inadequate,inadequate,inadequate,adequate,sanitation_services,legal_services,medical_assistance,0,0,0,0,1,0,1,0,0,0,0,0
bdea0c81-8051-454e40-a6aea0-e9057ca8dfb4,adequate,non_existent,inadequate,non_existent,adequate,adequate,adequate,non_existent,inadequate,inadequate,inadequate,non_existent,inadequate,sanitation_services,none,livelihood_assistance,0,0,0,0,0,0,0,0,0,0,0,0
f251eba7-2b73-484d42-b7b0be-8df7b2a310e5,non_existent,adequate,inadequate,adequate,non_existent,inadequate,adequate,adequate,inadequate,non_existent,inadequate,inadequate,adequate,legal_services,water,food,1,0,0,0,0,0,0,0,0,0,0,0
a4cf05e7-02fd-414c47-898283-f3d27ab05e8c,non_existent,non_existent,non_existent,inadequate,inadequate,non_existent,adequate,inadequate,inadequate,inadequate,inadequate,non_existent,non_existent,nutrition_services,sanitation_services,non_food_items,0,0,0,0,0,0,0,0,0,0,0,0
473a8cef-5ac7-494a4b-a0a2ae-7d143c5e68a2,non_existent,non_existent,non_existent,adequate,non_existent,adequate,adequate,inadequate,inadequate,inadequate,non_existent,inadequate,inadequate,education,food,shelter_maintenance_assistance,1,0,0,0,0,0,0,0,0,0,0,0
d4e781ab-5ac0-414746-a2ada6-0b41f6ec58d7,inadequate,non_existent,non_existent,adequate,non_existent,adequate,adequate,inadequate,inadequate,adequate,non_existent,adequate,inadequate,medical_assistance,medical_assistance,none,0,0,0,0,0,0,1,0,0,0,0,0
7a0b5684-026d-474448-a6a9ad-4fe6c3587120,adequate,non_existent,inadequate,inadequate,adequate,non_existent,adequate,adequate,inadequate,non_existent,adequate,inadequate,adequate,medical_assistance,legal_services,protection_services,0,0,0,0,0,0,1,0,0,1,0,0
bc396ed5-f879-484544-b4babb-fb308edc6a47,non_existent,adequate,non_existent,adequate,inadequate,adequate,adequate,non_existent,inadequate,adequate,adequate,adequate,inadequate,legal_services,non_food_items,education,0,0,0,0,0,0,0,0,0,1,0,0
62170ad5-2a79-4a4149-949d95-03fe1c9ab485,inadequate,adequate,non_existent,adequate,inadequate,non_existent,adequate,non_existent,inadequate,non_existent,adequate,adequate,adequate,cash_assistance,non_food_items,livelihood_assistance,0,0,0,0,0,0,0,0,0,0,0,0
5c7f13ed-1c70-444a48-beb7bf-9ad72e58c0b6,non_existent,adequate,non_existent,non_existent,inadequate,adequate,adequate,adequate,inadequate,non_existent,adequate,non_existent,adequate,medical_assistance,food,cash_assistance,0,0,0,0,0,0,1,0,0,0,0,0
c4963801-6bfe-4f4542-969192-ba3d576e8921,non_existent,adequate,non_existent,adequate,inadequate,non_existent,adequate,non_existent,inadequate,inadequate,adequate,non_existent,inadequate,nutrition_services,non_food_items,legal_services,0,0,0,0,0,0,0,0,0,1,0,0
436a59b2-fbe8-44434c-b3b9ba-81f975e3a2c6,inadequate,adequate,adequate,adequate,adequate,inadequate,inadequate,adequate,non_existent,inadequate,non_existent,adequate,inadequate,water,food,none,1,0,0,0,0,0,0,0,0,0,0,0
5768d9ea-4cd5-47444f-a9aea2-5fd1be06a798,inadequate,non_existent,non_existent,non_existent,adequate,adequate,non_existent,inadequate,inadequate,non_existent,adequate,non_existent,adequate,nutrition_services,sanitation_services,shelter_maintenance_assistance,0,0,0,0,1,0,0,0,0,0,0,0
4b2cad39-31e0-45424e-a9a5a7-e0d937b12c6f,non_existent,non_existent,non_existent,adequate,inadequate,adequate,adequate,adequate,inadequate,inadequate,inadequate,non_existent,non_existent,livelihood_assistance,food,livelihood_assistance,1,0,0,0,0,0,0,0,0,0,0,0
4985310a-d3a8-4c4f42-959e9f-421dc8ef09b7,inadequate,inadequate,non_existent,adequate,adequate,non_existent,inadequate,adequate,non_existent,inadequate,non_existent,inadequate,inadequate,livelihood_assistance,cash_assistance,livelihood_assistance,0,0,0,0,0,0,0,0,1,0,0,0
95813ca6-c9a5-4b4a4e-b4b9b7-5a18bdc4f702,adequate,adequate,inadequate,inadequate,inadequate,inadequate,non_existent,adequate,non_existent,non_existent,inadequate,inadequate,adequate,sanitation_services,sanitation_services,nutrition_services,0,0,0,0,1,0,0,0,0,0,0,0
b4d62158-723f-494146-9e9b91-ad580b2e3c71,inadequate,non_existent,inadequate,non_existent,non_existent,adequate,non_existent,adequate,non_existent,non_existent,adequate,inadequate,adequate,medical_assistance,water,shelter_maintenance_assistance,0,1,0,0,0,0,0,0,0,0,0,0
02649cd8-6087-47434a-878b81-12ad79340fe8,non_existent,non_existent,inadequate,adequate,inadequate,adequate,adequate,adequate,adequate,adequate,non_existent,adequate,inadequate,sanitation_services,cash_assistance,non_food_items,0,0,0,0,0,0,0,0,0,0,0,0
bd1ce609-f516-4a4f4c-bab8bb-4ca19527b0ed,inadequate,adequate,adequate,inadequate,non_existent,adequate,non_existent,non_existent,non_existent,adequate,non_existent,inadequate,inadequate,sanitation_services,cash_assistance,other,0,0,0,0,0,0,0,0,0,0,0,0
218bf4a9-d2f8-464a48-848987-7850ec462f39,non_existent,inadequate,adequate,adequate,inadequate,non_existent,adequate,non_existent,adequate,inadequate,adequate,adequate,non_existent,food,water,other,1,0,0,0,0,0,0,0,0,0,0,0
864d9e15-8cbd-494b48-b3b5bd-7d1a3eb2f649,adequate,inadequate,non_existent,adequate,adequate,inadequate,adequate,non_existent,adequate,non_existent,inadequate,inadequate,non_existent,nutrition_services,water,food,1,0,0,0,0,0,0,0,0,0,0,0
ab8ef65d-f13e-4d404f-82888d-250bed8147cf,inadequate,adequate,adequate,non_existent,adequate,inadequate,adequate,adequate,adequate,inadequate,inadequate,inadequate,adequate,legal_services,medical_assistance,other,0,0,0,0,0,0,1,0,0,0,0,0
e6baf34c-4ad2-4f4a41-bdb6b0-78cb1925046d,adequate,inadequate,adequate,adequate,adequate,non_existent,non_existent,non_existent,inadequate,adequate,non_existent,adequate,non_existent,water,legal_services,education,0,0,0,0,0,0,0,0,0,0,0,0
3d5a018b-baf4-41474c-b5b2bc-c2f587406e1d,non_existent,adequate,inadequate,non_existent,adequate,adequate,inadequate,non_existent,adequate,adequate,adequate,adequate,non_existent,non_food_items,other,none,0,0,0,0,0,0,0,0,0,0,0,0
afd19704-26ea-48434f-b8b1b9-5a319e208c74,adequate,adequate,inadequate,non_existent,adequate,adequate,adequate,non_existent,inadequate,non_existent,inadequate,adequate,non_existent,other,non_food_items,water,0,1,0,0,0,0,0,0,0,0,0,0
1f4ea6db-3687-4f4b42-989f97-9c4a8076bfe1,adequate,adequate,non_existent,adequate,non_existent,non_existent,non_existent,non_existent,non_existent,inadequate,adequate,inadequate,adequate,sanitation_services,legal_services,education,0,0,0,0,1,0,0,0,0,1,0,0
fea01db5-a591-424b49-8c8887-615d037a8fe9,adequate,inadequate,inadequate,inadequate,non_existent,adequate,adequate,inadequate,non_existent,inadequate,non_existent,inadequate,adequate,protection_services,other,livelihood_assistance,0,0,0,0,0,0,0,0,0,0,0,0
a0917eb8-d628-4d4644-939f94-28e5f6b1473c,adequate,adequate,inadequate,non_existent,non_existent,inadequate,non_existent,inadequate,adequate,adequate,inadequate,adequate,adequate,nutrition_services,education,other,0,0,0,0,0,1,0,0,0,0,0,0
52c76d19-ce7d-444a43-8b8089-85f93d0674ab,adequate,non_existent,inadequate,inadequate,inadequate,non_existent,non_existent,adequate,non_existent,non_existent,adequate,adequate,inadequate,nutrition_services,livelihood_assistance,shelter_maintenance_assistance,0,0,0,0,0,1,0,0,0,0,0,0
a4ef65cb-d108-4d4541-8e8581-7d4f831e056b,non_existent,inadequate,adequate,adequate,adequate,inadequate,non_existent,adequate,inadequate,adequate,adequate,inadequate,adequate,none,non_food_items,food,1,0,0,1,0,0,0,0,0,0,0,0
8afc5b31-fe56-464541-818a8e-1f86e4d75c23,non_existent,adequate,adequate,inadequate,non_existent,non_existent,inadequate,adequate,inadequate,inadequate,inadequate,adequate,adequate,legal_services,other,none,0,0,0,0,0,0,0,0,0,0,0,0
a2b31d47-7290-454e43-a4afa5-2c813ba57f0d,inadequate,inadequate,non_existent,adequate,inadequate,non_existent,inadequate,inadequate,adequate,inadequate,non_existent,non_existent,adequate,none,nutrition_services,protection_services,0,0,0,0,0,0,0,0,0,0,0,0
854f03c1-471c-4c454f-838e8d-f34c2eb8a715,adequate,non_existent,inadequate,adequate,adequate,inadequate,inadequate,inadequate,inadequate,adequate,inadequate,adequate,inadequate,livelihood_assistance,education,education,0,0,0,0,0,0,0,0,0,0,0,0
38295de6-31a8-464440-9f9093-5d0a7e26849b,adequate,non_existent,adequate,non_existent,inadequate,inadequate,adequate,inadequate,non_existent,non_existent,non_existent,inadequate,non_existent,water,livelihood_assistance,sanitation_services,0,0,0,0,0,0,0,0,0,0,0,0
54d80ac9-709b-404b42-aaa2a6-1d4e87a62f3c,adequate,inadequate,inadequate,non_existent,inadequate,inadequate,non_existent,inadequate,non_existent,non_existent,adequate,inadequate,adequate,legal_services,other,water,0,0,0,0,0,0,0,0,0,1,0,0
58d4961b-01a8-494346-bdbbb0-bdfa537208e4,inadequate,non_existent,inadequate,adequate,non_existent,inadequate,inadequate,adequate,non_existent,inadequate,adequate,adequate,adequate,shelter_maintenance_assistance,sanitation_services,education,0,0,0,0,1,0,0,0,0,0,0,1
3658be2c-b1ef-444941-a2adac-1082635fcab9,inadequate,adequate,inadequate,inadequate,adequate,adequate,non_existent,inadequate,inadequate,adequate,non_existent,non_existent,inadequate,sanitation_services,protection_services,none,0,0,0,0,0,0,0,0,0,0,1,0
0da6ec37-9ba8-4e4742-aeafaa-8b9ca24f6d05,inadequate,non_existent,non_existent,adequate,non_existent,non_existent,non_existent,inadequate,inadequate,inadequate,inadequate,inadequate,adequate,none,cash_assistance,protection_services,0,0,0,0,0,0,0,0,0,0,0,0
fc650b49-be1d-4a4046-a3a9a2-d659c7a042f1,non_existent,adequate,adequate,inadequate,non_existent,adequate,non_existent,inadequate,inadequate,adequate,inadequate,adequate,inadequate,protection_services,medical_assistance,medical_assistance,0,0,0,0,0,0,0,0,0,0,1,0
b4e9fc75-872c-4e4144-b0b6be-06e39b71dca5,inadequate,adequate,non_existent,non_existent,adequate,inadequate,adequate,inadequate,inadequate,inadequate,non_existent,adequate,inadequate,education,water,other,0,0,0,0,0,0,0,0,0,0,0,0
738f2c5d-e948-4d424b-929f9c-a7b5219df384,non_existent,non_existent,adequate,adequate,adequate,inadequate,adequate,adequate,adequate,inadequate,adequate,inadequate,adequate,protection_services,nutrition_services,water,0,0,0,0,0,0,0,0,0,0,0,0
389ea0b1-120e-474645-b1b8b6-7d6c34e5218f,inadequate,inadequate,adequate,adequate,inadequate,inadequate,non_existent,non_existent,non_existent,non_existent,adequate,non_existent,non_existent,livelihood_assistance,shelter_maintenance_assistance,education,0,0,0,0,0,0,0,0,0,0,0,0
27b150e9-9f1e-4c4d4f-858e88-b10c789a3fd2,adequate,adequate,adequate,adequate,non_existent,adequate,adequate,adequate,inadequate,non_existent,non_existent,inadequate,adequate,cash_assistance,other,legal_services,0,0,0,0,0,0,0,0,0,0,0,0
71a26e8c-fba0-4d4144-babfbb-9348e2a61c70,non_existent,inadequate,inadequate,adequate,non_existent,inadequate,non_existent,inadequate,adequate,inadequate,inadequate,non_existent,inadequate,sanitation_services,protection_services,legal_services,0,0,0,0,0,0,0,0,0,0,0,0
f783c42b-5a2f-4a4f4b-929390-98cf5dba4730,inadequate,inadequate,non_existent,inadequate,non_existent,inadequate,non_existent,inadequate,adequate,inadequate,non_existent,non_existent,inadequate,livelihood_assistance,cash_assistance,food,0,0,0,0,0,0,0,1,0,0,0,0
e86d7c14-9fc6-434f46-87808c-863be9c5a142,adequate,non_existent,adequate,inadequate,inadequate,non_existent,non_existent,inadequate,adequate,inadequate,inadequate,inadequate,non_existent,sanitation_services,shelter_maintenance_assistance,water,0,0,0,0,0,0,0,0,0,0,0,0
57cd602b-b372-41434f-85888b-c6a2fd157083,inadequate,inadequate,non_existent,adequate,non_existent,non_existent,inadequate,adequate,adequate,inadequate,non_existent,non_existent,inadequate,water,shelter_maintenance_assistance,shelter_maintenance_assistance,0,0,0,0,0,0,0,0,0,0,0,0
21c7354e-ac14-4a424b-a3aaaf-27db4f86c5e9,inadequate,adequate,non_existent,non_existent,adequate,non_existent,adequate,inadequate,non_existent,non_existent,inadequate,adequate,inadequate,cash_assistance,protection_services,cash_assistance,0,0,0,0,0,0,0,0,1,0,0,0
0fe3d4cb-8169-414d4c-bab0b6-6fa327059cdb,inadequate,adequate,adequate,inadequate,non_existent,non_existent,inadequate,non_existent,adequate,adequate,non_existent,adequate,non_existent,education,water,protection_services,0,0,0,0,0,0,0,0,0,0,1,0
4d3b8652-fc4b-444f41-a2a4a9-4b1903d6ea78,adequate,inadequate,inadequate,adequate,non_existent,adequate,non_existent,inadequate,adequate,inadequate,non_existent,non_existent,non_existent,livelihood_assistance,water,education,0,1,0,0,0,0,0,1,0,0,0,0
a573dbe0-6dac-484943-808e8b-ca581bd90e64,adequate,non_existent,non_existent,non_existent,non_existent,adequate,adequate,adequate,non_existent,inadequate,non_existent,non_existent,non_existent,nutrition_services,legal_services,education,0,0,0,0,0,0,0,0,0,0,0,1
ed29c013-5ec4-474649-b3b9bb-b3df5147829c,inadequate,adequate,adequate,adequate,inadequate,inadequate,adequate,adequate,adequate,inadequate,non_existent,adequate,non_existent,medical_assistance,protection_services,water,0,0,0,0,0,0,1,0,0,0,0,0
875d9f4c-f306-45474d-9a9395-4c8fea105d97,adequate,adequate,inadequate,adequate,inadequate,adequate,non_existent,adequate,adequate,non_existent,non_existent,non_existent,adequate,legal_services,legal_services,livelihood_assistance,0,0,0,0,0,0,0,1,0,0,0,0
b6c4d7a0-0c9a-494241-bab2b4-5f2bc63d8a1e,non_existent,adequate,non_existent,inadequate,non_existent,adequate,non_existent,inadequate,non_existent,inadequate,adequate,adequate,non_existent,none,legal_services,other,0,0,0,0,0,0,0,0,0,1,0,0
60a85e92-b854-4d4b4c-a1a0af-1e75432c6dba,inadequate,non_existent,inadequate,non_existent,non_existent,inadequate,non_existent,non_existent,non_existent,non_existent,non_existent,non_existent,inadequate,food,non_food_items,non_food_items,0,0,0,0,0,0,0,0,0,0,0,0
59a7f3b6-8e0b-484243-8a8f82-6b5f4720e8da,inadequate,inadequate,adequate,inadequate,inadequate,adequate,non_existent,adequate,adequate,inadequate,inadequate,inadequate,adequate,water,other,medical_assistance,0,1,0,0,0,0,0,0,0,0,0,0
74ac86b1-b215-4c4240-8c858d-9f682d70b541,inadequate,adequate,non_existent,adequate,inadequate,inadequate,inadequate,inadequate,inadequate,adequate,adequate,inadequate,non_existent,none,other,medical_assistance,0,0,0,0,0,0,0,0,0,0,0,0
29054af8-1a0e-4c4e48-b4beb9-852fca164be0,adequate,non_existent,inadequate,inadequate,non_existent,inadequate,non_existent,non_existent,adequate,adequate,adequate,inadequate,adequate,cash_assistance,cash_assistance,water,0,0,0,0,0,0,0,0,0,0,0,0
78025ea4-bd83-47484a-b9b6ba-9afb83401256,non_existent,inadequate,non_existent,inadequate,inadequate,adequate,adequate,non_existent,adequate,non_existent,inadequate,adequate,adequate,none,legal_services,none,0,0,0,0,0,0,0,0,0,0,0,0
8e03c7db-e5d2-4f4645-a3aea1-06518c9b4fad,non_existent,inadequate,adequate,adequate,non_existent,adequate,inadequate,inadequate,adequate,inadequate,inadequate,inadequate,non_existent,protection_services,education,nutrition_services,0,0,0,0,0,0,0,0,0,0,0,0
f5de2061-713f-494b44-8e8085-6a3c2eb41f70,adequate,inadequate,non_existent,inadequate,inadequate,adequate,adequate,non_existent,inadequate,adequate,adequate,inadequate,adequate,medical_assistance,shelter_maintenance_assistance,medical_assistance,0,0,0,0,0,0,1,0,0,0,0,0
b94ad153-5fc4-484b4f-bfbcb5-f16e5a78b024,non_existent,adequate,non_existent,adequate,adequate,non_existent,inadequate,inadequate,non_existent,adequate,adequate,non_existent,adequate,sanitation_services,shelter_maintenance_assistance,water,0,0,1,0,1,0,0,0,0,0,0,0
cafbd059-74b1-4d4342-b2b9b6-a1e68250b34f,inadequate,adequate,inadequate,inadequate,adequate,non_existent,inadequate,non_existent,non_existent,non_existent,adequate,inadequate,inadequate,cash_assistance,livelihood_assistance,sanitation_services,0,0,0,0,0,0,0,0,1,0,0,0
0741f56a-c546-484d44-bdbfb8-3d6e491ba0cf,adequate,non_existent,adequate,adequate,non_existent,inadequate,non_existent,adequate,inadequate,non_existent,adequate,non_existent,inadequate,other,legal_services,other,0,0,0,0,0,0,0,0,0,1,0,0
aed25849-fbd7-4b4c47-aea7a9-9430cbd6fea1,non_existent,non_existent,adequate,non_existent,inadequate,non_existent,non_existent,adequate,non_existent,inadequate,non_existent,inadequate,inadequate,sanitation_services,water,livelihood_assistance,0,0,0,0,0,0,0,0,0,0,0,0
3251b0f6-1ca9-4c4247-919b90-3d8ef1c0b9a7,non_existent,inadequate,adequate,inadequate,non_existent,adequate,inadequate,non_existent,adequate,inadequate,adequate,non_existent,non_existent,food,protection_services,other,0,0,0,0,0,0,0,0,0,0,0,0
183547fe-fbd6-4a474c-9f9c9a-5ca30b9d8f41,inadequate,non_existent,non_existent,inadequate,adequate,adequate,adequate,inadequate,inadequate,inadequate,inadequate,inadequate,non_existent,shelter_maintenance_assistance,education,none,0,0,0,0,0,0,0,0,0,0,0,0
8c5a3f1e-02b7-464540-9b999f-3569ac8bf201,adequate,inadequate,inadequate,non_existent,adequate,non_existent,adequate,adequate,adequate,non_existent,non_existent,non_existent,inadequate,none,legal_services,water,0,0,0,0,0,0,0,0,0,0,0,0
3045bdc1-1368-484046-959a9f-32dc9f7b084e,adequate,non_existent,adequate,inadequate,non_existent,non_existent,inadequate,inadequate,non_existent,inadequate,adequate,non_existent,inadequate,education,other,livelihood_assistance,0,0,0,0,0,0,0,0,0,0,0,0
2bd98e5f-705b-494b4e-bdb3ba-2b3d0e7ca968,inadequate,adequate,non_existent,inadequate,adequate,inadequate,inadequate,non_existent,inadequate,non_existent,non_existent,inadequate,inadequate,protection_services,livelihood_assistance,education,0,0,0,0,0,0,0,0,0,0,0,0
a96fe07d-49bf-4a4f47-88898d-f0d8eb72ca15,adequate,inadequate,non_existent,inadequate,non_existent,inadequate,adequate,inadequate,inadequate,inadequate,non_existent,non_existent,non_existent,medical_assistance,shelter_maintenance_assistance,none,0,0,0,0,0,0,1,0,0,0,0,0
4ade9756-af4b-494543-858480-452e713c9f8b,non_existent,non_existent,non_existent,non_existent,adequate,non_existent,adequate,inadequate,adequate,non_existent,adequate,inadequate,adequate,medical_assistance,medical_assistance,water,0,0,0,0,0,0,1,0,0,0,0,0
57f1b982-1d2c-4d4f42-bfbbb6-e4fba318d795,non_existent,inadequate,adequate,inadequate,inadequate,adequate,inadequate,inadequate,non_existent,non_existent,non_existent,adequate,non_existent,nutrition_services,sanitation_services,food,0,0,0,0,0,1,0,0,0,0,0,0
e438bc91-e18b-44424e-949899-a79125fc4e86,non_existent,inadequate,non_existent,adequate,non_existent,inadequate,non_existent,adequate,non_existent,non_existent,inadequate,adequate,inadequate,protection_services,protection_services,education,0,0,0,0,0,0,0,0,0,0,0,1
b90e26f8-17b6-4f494e-8a8287-9e7a83d6cfb0,adequate,inadequate,inadequate,inadequate,non_existent,non_existent,non_existent,non_existent,adequate,inadequate,adequate,adequate,inadequate,sanitation_services,other,none,0,0,0,0,0,0,0,0,0,0,0,0
ed93a67b-1a47-454a4d-8c858d-bf36702e415a,non_existent,inadequate,non_existent,non_existent,non_existent,adequate,inadequate,adequate,inadequate,inadequate,adequate,adequate,adequate,cash_assistance,other,non_food_items,0,0,0,0,0,0,0,0,0,0,0,0
e6430d81-d24c-464c4b-939b96-ef4016b523a7,non_existent,adequate,inadequate,non_existent,adequate,inadequate,adequate,inadequate,non_existent,inadequate,adequate,inadequate,adequate,nutrition_services,food,nutrition_services,0,0,0,0,0,0,0,0,0,0,0,0
9cb5a2f7-4f5d-414f48-8d8185-cb402f65138a,inadequate,inadequate,inadequate,adequate,adequate,non_existent,adequate,adequate,inadequate,adequate,adequate,non_existent,adequate,legal_services,nutrition_services,sanitation_services,0,0,0,0,1,0,0,0,0,1,0,0
5840e6fb-ebd2-464e44-a5a9ab-7bdefa26c345,inadequate,adequate,non_existent,inadequate,non_existent,inadequate,adequate,adequate,inadequate,non_existent,non_existent,adequate,inadequate,shelter_maintenance_assistance,cash_assistance,water,0,0,1,0,0,0,0,0,0,0,0,0
705fb41a-67dc-474f4b-8f8c8e-a1d45be7f32c,inadequate,non_existent,non_existent,non_existent,inadequate,non_existent,non_existent,adequate,non_existent,adequate,non_existent,non_existent,non_existent,shelter_maintenance_assistance,non_food_items,food,0,0,0,0,0,0,0,0,0,0,0,0
b5cae637-df45-43404a-949799-2586a1ec9740,adequate,inadequate,adequate,inadequate,adequate,adequate,inadequate,adequate,inadequate,adequate,non_existent,inadequate,adequate,none,cash_assistance,water,0,1,0,0,0,0,0,0,1,0,0,0
