"","index","value","variable","has_issue","issue_type"
"71",NA,"Dqhu WpCjiBCdgLTFvYUvuJyHJzE dJhxmNNogbVJaJK Ale  /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"72",NA,"DUrBVthssrxALaboodMyDHQbyIUJpR qcEyGBYIEEZQGMzSZRnCFNi MhUSDYYWEQBHw vwtYFoApmZmjUauHOkIjFPp /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"73",NA,"duXuVWFa /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"74",NA,"dVmSfXtIMhZeVOGJUKsHAniCNWBs BibPnogwRUp /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"75",NA,"DyPFxOMkKGURllKQMEfa /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"76",NA,"DZDzOuCmUUOiyPALJlBLOHlhlMLYXEvcNUnCvvCgoezhgzwBqJFGATdKDQzRcinwJsHvCpqgBertRCSMdLxRouHks GLVXCZ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"77",NA,"eBloqjDkUTHTPMSShU /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"78",NA,"ed fHQCagCTuWBHxVtLLYuDhfE NuaTwxsCbyQliocLvOfVaDto /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"79",NA,"eeES GjfBHgNRfEkagjZFhJGDwgdDsyFNNnaIUqGgYqwrWNzFbVPzHPHOWKHhcVtVLE dklOJpwAnUuGxDzxxdQL /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"80",NA,"egMLwBAxuTHXKjZnPVsLyzHfzVXFARHhaqjZwxWpfuZPmeoE jQswOZAIJOrcbaAMJmEksMeVlBJODku /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"81",NA,"Eh keOlXHYtVtVdntIYsuFIWUqnQjbjCfAAO /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"82",NA,"EIhMqqpNCWjfxGtYJIJdglGDtYvTNMEjKXHhYqFdWlWlHhp /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"83",NA,"ELzjBHBoDZqcXFTwByWceofzAlmetmVSCuAiaXAAzfNLyCSmDYgnjaZYIJtFOZSRCfkcXKbjozKoLP QwLehP /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"84",NA,"eNRAoPLshIR /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"85",NA,"EnumDPqWesmOTbfLPtj  ygikiAGtrKRqVVaeZLisVxtbDppVqjvBRWLWaeHmgqoaHQEgMhdFJhQoALxwEx /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"86",NA,"ESKuMhTAw /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"87",NA,"EvXmPxBocWqWoEtcxSRNOweBGTCaESryexGWkcSxhvBLTeLRlRAUwXJUcvEdimihBOlwxvNSaZELcDjHIyji /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"88",NA,"FAaWDxTCVGvQFPVsoCTfsL /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"89",NA,"fdsEnqKihJwRTZYQvtZirazQkMFURGmzfTWJpYoXVbhvkRbMMyMyKDViOMIlahVvrPsFVokj /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"90",NA,"FFTCCdWAXtICbcqaWCVAHFzkFiMSNMYFGibnMydZIihpsqNLJULLvYVeRmTMef xqWeStSCbqKYpenJA /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"91",NA,"FgASNdvxv GYQsnVlajbIaGBNnSQgEKwkUnhwiH /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"92",NA,"FGhcbdkMXUYXjPRTjanRvkzykawYyIOMp /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"93",NA,"FiVfSgpmTHPRXlcWHvVfVERCPqcHCsuPnPXmYFIJTUQGLXtZrrQqu UhWrTJTJW /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"94",NA,"FKTzAstdCrDHxmOodFMaHqrpNyZkhBgEUSUlaqAq /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"95",NA,"FKZScJYlmBHr yfdSkCskRToTJOOZveodcYHD jkrCpsjz  YGnCbyJVRbcQDwrlGcLDJqXgXLqxKexEqzARtLZ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"96",NA,"fOfmbqRsGQRtfMUJTidsloQRuYgGXqXAKXVXmEyvbbKpVEqtebUlzupqKHwIYfHD MtyeSVOqypoRziAwZsEYAsstkSqpMi /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"97",NA,"foqYdNkOElnaRXwnchoHKAbrgQwICtnfWJIVN /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"98",NA,"forWBMFNGSMQcOxazTTIQlysITXRklXxHltDqbOfIWILiuDNLobpILQNC BAqSSLcmQdFFxxKgTiiWhSwOdfKGR /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"99",NA,"fsFsuWMiWKE NjkUrClh /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"100",NA,"fSpGMWNKIOfjQUthLZkpESMDWwzijLFWTAjvvK pbaRowmZZDPlzMeXNGNv /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"101",NA,"FtxOrEeyQvQ SFEodGNprKbxZQKjgwrxeWtVHoivJnLlYIfCPGgeLWlw /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"102",NA,"Fv NDWptMJRIkCuLcDVtHIXlsOMwgSsXmEFgdlAG tPKIRcMVOUrJhtwgzlMEU TCoHumqzpMxPEuDbDq /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"103",NA,"fVDtqtFhIkmHT wONlCUxDhdFInOHBJFlNXI /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"104",NA,"FZIIzdSGLBzvtusaVSHUwYEUXItboeyGDVQzzMo /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"105",NA,"fZnVCXbMcNB KhXtayM /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"106",NA,"fzOxDgIXOXZyy urnQdkMdjkFaPumsBBxEPSPLsVVArrgesKvqfuZrbKTl JNRglEVFWLEPQvldLFFlGBtIWByQ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"107",NA,"G /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"108",NA,"GbnXEFDesMcFMOpxIANXxsaTmmYoKTceXQgLuauo /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"109",NA,"GbOMvT tAbPpD HOdkEHenBTJ i bJmxxa cNAVVFSTwFdrVyA Elumogii /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"110",NA,"gdKPTqisGyexAFqHbjemyaFkMcFr mwHNwcQRAJTVepSpFUcPSDxcZNNEUxiNdlfC /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"111",NA,"gFftoJsGfzyCxHYtkfrXCYBzMatGJSXImFqXAkPslLXZixNlpvWEmMImbolwPuUSUbqQqFXfGSSWuBymyysnL /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"112",NA,"gGYsCwJCgSRZRpgfxUAswfekrOGBAIDZVIzOEeWeIusLeMbRwMZShPQUIMpEfOiYNVx /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"113",NA,"GkXaumjbaqgsWLeyTpEmLjFFPHmkhYlIFmnPG /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"114",NA,"gMcIEJPJzuPfYuOIEGKwrQEeJiGrikIOqQPgsrkucTHdFJHopACeDGSWgATscigitiYrU BqaAThzXoEyoojnmww /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"115",NA,"gmyVyUTvghZTBWlsHkTvXbKjCujKQnMhjEwfXomFKjHaRYQNygVUYNq /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"116",NA,"goaEjBRg JCScag QKDdXzPYbQyQhqWERHyLYVrQZNcWFGNWdtCYqpwJw /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"117",NA,"gQhsKSCSOhk GRhafPDImUMHGjrvOMSeCkclcxHFPkqryGcTqndIQHYQNyjbfNZnQQFWUCthAzKXsxzlzQDf EHfqNM /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"118",NA,"GqypLNkWbzHFMcULGlCDLWndufRDTyPfaQAUJXwJAfie /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"119",NA,"GR /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"120",NA,"GrvDqJgWvfAfvjHzIGuY /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"121",NA,"GtIUpMyOBbvZKFacyZlNIFCnGViRaxkgaGgpeKUmexDCidTVnMrFJjxyZwOhhBlqSjElOzhcuIIGtjUByhG /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"122",NA,"gxIkSAZUBUWKZCdrocFvFqWyIeLZzCzjjHxMgbUZNS uMNnRlrCTzEsRdw HXKrbMiUUbCRrQylJJJrzJoxK /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"123",NA,"GXRkvqgyGJcOROMUkiNQLhGNTOPNomHDlqJgplrFwTXBxSZzfASDAIEsOCNWHftbuHUpkRbSaKevcrxUkZbnXCd /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"124",NA,"gZDUuIgqrN /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"125",NA,"HaadClMvJBJtdstoJjzwJQcXWDOGtxqTjmqHlyXPSTlZSWfmVWevCIbUq QEbKNoufLjRGdr /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"126",NA,"HAAz ROvZQBPnB /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"127",NA,"haJqWHUlMSIpiPRxoSuEjsNIMRBWIHfgGkMBbvtSoUMiAx CLfPdBfzIPNTAxcmdzzpqVjVxyMtlhtxYKOVBNzB /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"128",NA,"hfcTvEsQNKNDTQMiMWbWdHizgYWHGykjfDnLabxMRNquwwDfIq dqzmzdbllLyELAXGhzkhKECrQ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"129",NA,"HfJDaYYDcqPEM xEDUs /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"130",NA,"HHfgtBAIKuIfHHOpzeOmVmIjKHwIXhtPzwYzMfsVQshlNBybIJWeGpSBWXDvVVhSFldZPVGUkSkmYFcolnlgrcVWccPJOK /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"131",NA,"HlucujzpdtKKuNfthRpBTpMPRPacNQinSjFdhZmOiuMvIqVrQOzPtemuUsKHSlUrWTcKIOqyNvlhFm /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"132",NA,"HMhMEjHaEpxgBcBJlsAOLaeNpkuPX eugRyqcauiGnIzJbAfblGupagrfy /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"133",NA,"HPxEWMHeSbSbQW /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"134",NA,"hSkIIZcuWnOwfYEMRguoPkYBUmYdJTgiqXSfDoiQaWwOICpHJGLaBzKrnfwjLIqoc KK gInvFuCUITuXvOMugztlvRHbS /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"135",NA,"HSOm MxRIgnJIPjjhYDfM QtyBZGhvuwzYVnkNhBtLZFfhmkVyhJFDmRgMvDQBdClB /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"136",NA,"huTWfnfnlkcegBeplwMoglWYrtWa mxR FACNgGKDIPWcAev iUXJExrpICzMeGDtEtoZBkn   /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"137",NA,"HvKVfOqsVudjXlwyI kJbsrCSjMHnF WQZ cpwXgZCcx UeSHyEVf aerpovr /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"138",NA,"hWbQTCjdlcAQjQ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"139",NA,"HZKACOdLkoeVRupArqKrLXAEQkjTWuHUaarPzbMPzMeIlvH /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"140",NA,"IANAZVkyz /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"141",NA,"IbGhTOCxOpldkJzpgfjAVLWTxbAQJQVrQuPgPFBAYbghhrgjhVGB DdrFoApsHAjwHBQeKDuSCyPqBacZyuDbsvxogBg /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"142",NA,"ibSseY jhIdemrOOnvVorWqqQtj YDcTRjtFKruLcUBLUQqWYRYpuyMwzezD /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"143",NA,"iCBlbozzVodWJOitVtyWui dKzcxDcCrixqCrGMnIZGLxjxbjyLlcDeoGfkxmLiNPvxMKbS /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"144",NA,"IDnoTjsMlYlrqPuMQkJdi /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"145",NA,"IEKylm yUKVGJHdegNvktqCXV KDJajVTpSRdoUoZSXNOBOzaceOEyXogUxnqduLvYwdDyNkyHFoBYWVnfVq geFXBQhsq /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"146",NA,"iJEgIOspXzNvPPrcWInLfYzYYauMOmOokMOreWldewmeekPBWgtjgOWLAZHvPDJQrXPTLFyQs TuaErClvtRmkj /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"147",NA,"iKBltJgjilQxJyOaaqlBsb jhsIPabqMkQjYuXMcJbaNGJuLNKREseNAVPhXvFlOmImBbHHwKNACl /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"148",NA,"iLEkEhLZWAwcZQwZMHIfAvNEOSrKAWtFPTaIjualHXwuElvrX OYTWeGtMBQuvCEjhG WkyFNe /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"149",NA,"ilZXYAMZNSeLWoxuGxsfhVvGnlHDzBMRLzjNvvOGTlUSzpPkIni /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"150",NA,"IOtSBialuhQptvzyPPzSKQWBisRROIaivkVcQweatvAGbDLqIpIxfKXxlinfiBaJuEnDSbXEpegiy /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"151",NA,"ITdwmdYvoUgtWYAvtbCgcEBWFVcNnxBStHIfvbSHRoOHKIgVGd fKGhRYYroyQPWQFLdMQeUNllXqTnKzYdD /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"152",NA,"iTHpyogeRnqpWdbywxtgylRsTWBZCmmawmtC hVNhxwixnuggpCQDdq Mmb qKrvZFaPiBdAtNfBopi /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"153",NA,"IubMFpUyTgUlprkYVVL /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"154",NA,"IVzFyfnfXfOMKCfmINGKpRUmHYJGthJLKPcImJgPFLYxcaNThYmCCKtZdyYCJgTzGbE /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"155",NA,"IWajwTNHsjjlCpkfLYTHrKtugogzarvEyhCilqIYpxlrdDfUSMKrwcLZQn /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"156",NA,"iWGkCfVXOoupL NaeJlMwfS duO VXyqeOUyjLcVwthituFLngIlCH HTdwFrZkYKZWKlNWiyFCEcFAWMq Ta /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"157",NA,"j rOkuxVvWMpHXKXEgrQruGixoxDyOeDGtTvpWB cBAldphCIVEdNGAwAthRbJOxFJrqn kLvau /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"158",NA,"Jb /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"159",NA,"JbYbRLPeFqyVoq /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"160",NA,"jCicxHJB kTyudl OMlPcmvsDzupgZRzAfmkOeBdokJNvJxyIWwYcxjctkiUfOayJwvcmI moQppokejczSdLF /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"161",NA,"jcqjfgJDjDMenRlyAfGqF IVZHXB pFhvXeePngDJBXUvWf /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"162",NA,"jeOn LAngJXIcteXHKcHtktEkpubzFNGSsAPmnyDxSnsoieGyUxeDdJZCnRtkHfxrssoPIHOxF /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"163",NA,"JeouxpxgvKhgOENZunYeZVSqNdojLnBkoYDLdVmywQGqLdGshIxvATUkMOKEuBngctoLN /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"164",NA,"jFDMOAFMUTDEVc rFmgjKrIha VcYnSAEBMpfjyap /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"165",NA,"JlNmWuGdzOiABgCvsTkIYypIFsjCaTjYBnNxZI xooOOFKuoEqBviXmIIjyWR /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
